Storm Name,LSTM_Latitude_MSE,LSTM_Longitude_MSE,Transformer_Latitude_MSE,Transformer_Longitude_MSE,LSTM_Total_MSE,Transformer_Total_MSE,Num_Samples
Ophelia,0.21136248796791224,0.698431731128866,0.13736242543755084,0.3265121924715954,0.9097942190967783,0.46387461790914625,72
Wanda,0.32921300974898493,1.9384375143809252,0.17463980030203657,1.9168434612505099,2.26765052412991,2.0914832615525465,20
Yanyan,0.33702400353727374,0.7943676232130836,0.24675269186347698,0.9587645156928564,1.1313916267503574,1.2055172075563334,30
Ivy,0.32868030376022,2.1106152133995004,0.20311608609810614,2.369069650630368,2.4392955171597204,2.572185736728474,34
Nadine,0.9112616905877037,1.5370703611046763,0.5816537125915364,1.717173114715154,2.44833205169238,2.2988268273066907,38
Fabian,0.1837548332497862,0.2700535113054451,0.166729429000769,0.2573255076784091,0.4538083445552313,0.42405493667917815,66
IRIS,0.13508268948145874,0.3749647040389797,0.03455703324378495,0.07488363176888788,0.5100473935204384,0.10944066501267283,2
Chuck,0.538659820600701,0.3680242852831525,0.2900301777303592,0.10053589847871736,0.9066841058838535,0.3905660762090766,34
Damrey,1.020887413316112,1.2350359532645927,0.5784944945729588,1.2279372384131841,2.2559233665807046,1.8064317329861428,44
Winona,0.26097523946092177,3.6228389394755234,0.14364950156975398,1.8765312584673481,3.8838141789364453,2.020180760037102,10
Rita,0.19797695058617426,0.3088747872801008,0.1366297429384211,0.5520533201037842,0.5068517378662751,0.6886830630422053,38
Judy,1.1097813174723898,1.195608321744998,0.8031713052050207,1.0922055314478625,2.305389639217388,1.8953768366528831,36
Koryn,2.731874344920049,3.03281852696762,1.1229060932896844,1.8035121075009597,5.764692871887669,2.926418200790644,26
Georgia,0.14048161488829924,0.7247984344225709,0.08840379089696661,0.4783745673530843,0.8652800493108701,0.566778358250051,56
Tess,0.9676773864025656,1.0215388406174386,0.5423292683653602,1.4520904703995665,1.9892162270200042,1.9944197387649267,98
Malakas,3.285160318492584,4.199382411229956,1.8661896074366773,2.976939162190516,7.4845427297225395,4.843128769627193,72
Kathy,0.960095770917077,3.8345335916139223,0.7833173613991098,3.201797755072148,4.7946293625309995,3.985115116471258,30
Ruby,0.10342636211690309,1.262662615673839,0.1574075449830956,0.24988568798575492,1.3660889777907421,0.4072932329688505,6
Freda,1.9111572470460128,1.4917174037109093,1.505424844022444,1.8226974542317962,3.402874650756922,3.3281222982542404,34
Phyllis,0.28749193360657993,2.2067782530950057,0.14951653768468215,0.6732038806488342,2.4942701867015855,0.8227204183335164,52
Alice,0.18916079900365992,0.5488695015572864,0.11694128341428126,0.24536147786205564,0.7380303005609463,0.36230276127633687,104
Lingling,0.06045957751550888,0.13750389510447025,0.038100098783208136,0.0045909789739969915,0.19796347261997913,0.042691077757205126,2
Omais,0.557785068073227,0.19700230946520572,0.41130071972548365,0.11076641682542052,0.7547873775384327,0.5220671365509042,18
Axel,0.2614086962170476,1.0771529918793594,0.14506193717531726,0.5095018539818812,1.338561688096407,0.6545637911571984,54
Kulap,0.5356978291950004,0.5769391209109263,0.36325000303743066,0.9530681420579298,1.1126369501059266,1.3163181450953605,28
Orchid,0.2264647576726876,0.5125315849474008,0.09752855203574323,0.14495405680798729,0.7389963426200884,0.24248260884373052,22
Fran,0.18565018068216896,0.08271948201100181,0.12761586050266086,0.11451347324838916,0.26836966269317075,0.24212933375105,12
