Metric,Value
LSTM Latitude MSE (Mean),0.6655056165377411
LSTM Longitude MSE (Mean),1.309676737363954
LSTM Total MSE (Mean),1.9751823539016948
Transformer Latitude MSE (Mean),0.4078548112335526
Transformer Longitude MSE (Mean),1.0078182520836665
Transformer Total MSE (Mean),1.415673063317219
LSTM Latitude MSE (Std),0.8000228820563414
LSTM Longitude MSE (Std),1.1737889978086664
LSTM Total MSE (Std),1.7791966830812531
Transformer Latitude MSE (Std),0.4585211093094882
Transformer Longitude MSE (Std),0.9253364267660347
Transformer Total MSE (Std),1.2768751448701623
